name,element,GW,bonus,clean_sheets,goals_conceded,minutes,own_goals,penalties_saved,saves,selected,transfers_balance,yellow_cards,value,total_points
Eddie Beach,680,5,0,0,0,0,0,0,0,0.0,229,0,4.0,0
Djordje Petrovic,687,5,0,0,0,0,0,0,0,0.0,561,0,4.5,0
Vicente Guaita,227,5,0,0,0,0,0,0,0,0.5,-42991,0,4.4,0
Sam Johnstone,230,5,0,1,7,450,0,0,7,1.9,-10292,0,4.5,12
Remi Matthews,233,5,0,0,0,0,0,0,0,0.1,-1551,0,4.0,0
Joe Whitworth,243,5,0,0,0,0,0,0,0,1.2,-6373,0,4.0,0
Dean Henderson,385,5,0,0,0,0,0,0,0,0.4,-4305,0,4.5,0
Jordan Pickford,263,5,0,0,9,450,1,0,15,10.3,-400470,1,4.4,8
João Neves Virgínia,266,5,0,0,0,0,0,0,0,0.5,-7589,0,3.9,0
Andy Lonergan,579,5,0,0,0,0,0,0,0,0.1,-914,0,4.0,0
Bernd Leno,275,5,5,2,10,450,0,0,24,13.0,417689,0,4.6,25
Marek Rodák,284,5,0,0,0,0,0,0,0,0.4,-6372,1,4.0,-1
Steven Benda,692,5,0,0,0,0,0,0,0,0.0,407,0,4.0,0
Adrián San Miguel del Castillo,289,5,0,0,0,0,0,0,0,0.3,-2985,0,4.0,0
Alisson Ramses Becker,291,5,2,1,4,450,0,0,19,10.9,70423,1,5.5,20
Caoimhin Kelleher,301,5,0,0,0,0,0,0,0,0.3,-4179,0,4.0,0
Matt Macey,323,5,0,0,0,0,0,0,0,0.4,-19925,0,4.0,0
James Shea,335,5,0,0,0,0,0,0,0,0.2,-5711,0,4.4,0
Jack Walton,338,5,0,0,0,0,0,0,0,0.0,-476,0,4.0,0
Thomas Kaminski,614,5,1,0,10,360,0,0,15,0.2,3722,1,4.5,7
Tim Krul,665,5,0,0,0,0,0,0,0,0.0,405,0,4.5,0
Scott Carson,347,5,0,0,0,0,0,0,0,0.1,-1350,0,3.9,0
Ederson Santana de Moraes,352,5,0,2,3,450,0,0,7,21.0,384716,0,5.6,19
Stefan Ortega Moreno,361,5,0,0,0,0,0,0,0,0.7,-4195,0,3.9,0
Zack Steffen,367,5,0,0,0,0,0,0,0,0.1,-1925,0,3.9,0
Tom Heaton,384,5,0,0,0,0,0,0,0,0.1,-4567,0,4.0,0
André Onana,597,5,1,1,10,450,0,0,20,22.7,-505799,2,5.0,13
Radek Vítek,669,5,0,0,0,0,0,0,0,0.0,828,0,4.0,0
Altay Bayindir,695,5,0,0,0,0,0,0,0,0.0,852,0,4.0,0
Karl Darlow,408,5,0,0,0,0,0,0,0,0.0,-635,0,4.0,0
Martin Dubravka,409,5,0,0,0,0,0,0,0,1.0,-19785,0,4.0,0
Mark Gillespie,411,5,0,0,0,0,0,0,0,0.1,-1233,0,4.0,0
Nick Pope,424,5,0,1,7,450,0,0,16,10.5,-95444,0,5.5,15
Loris Karius,580,5,0,0,0,0,0,0,0,0.2,-3359,0,4.0,0
Matt Turner,28,5,0,1,7,450,0,0,18,14.3,88374,1,4.0,14
Wayne Hennessey,448,5,0,0,0,0,0,0,0,0.2,-7543,0,4.0,0
Ethan Horvath,449,5,0,0,0,0,0,0,0,0.1,-3686,0,4.4,0
George Shelvey,636,5,0,0,0,0,0,0,0,0.0,-463,0,4.0,0
Odysseas Vlachodimos,710,5,0,0,0,0,0,0,0,0.0,640,0,4.5,0
Jordan Amissah,472,5,0,0,0,0,0,0,0,0.3,-6255,0,4.0,0
Adam Davies,479,5,0,0,0,0,0,0,0,0.2,-1671,0,4.0,0
Wes Foderingham,482,5,2,0,9,450,0,0,28,0.3,437,1,4.5,14
Brandon Austin,491,5,0,0,0,0,0,0,0,0.2,-2537,0,4.0,0
Fraser Forster,498,5,0,0,0,0,0,0,0,2.7,-108642,0,4.0,0
Hugo Lloris,502,5,0,0,0,0,0,0,0,0.7,-24428,0,4.9,0
Guglielmo Vicario,520,5,3,2,5,450,0,0,20,5.8,410640,1,5.1,24
Alfie Whiteman,521,5,0,0,0,0,0,0,0,0.2,-7916,0,4.0,0
Alphonse Areola,524,5,2,0,7,450,0,1,26,29.6,675617,0,4.1,24
Lukasz Fabianski,533,5,0,0,0,0,0,0,0,1.9,-111266,0,4.4,0
Joseph Anang,647,5,0,0,0,0,0,0,0,0.0,1201,0,4.0,0
Daniel Bentley,546,5,0,0,0,0,0,0,0,0.4,-5674,0,4.0,0
Tom King,564,5,0,0,0,0,0,0,0,0.8,-3811,0,4.0,0
José Malheiro de Sá,569,5,3,1,11,450,0,0,23,1.5,18754,0,5.0,19
Matija Šarkić,571,5,0,0,0,0,0,0,0,0.4,-15850,0,4.0,0
